,Datetime,Region,Technology,Cost,Value
160,2041,reg1,BIO_supply,fixed_cost,0.0
161,2042,reg1,BIO_supply,fixed_cost,0.0
162,2043,reg1,BIO_supply,fixed_cost,0.0
163,2044,reg1,BIO_supply,fixed_cost,0.0
164,2045,reg1,BIO_supply,fixed_cost,0.0
165,2046,reg1,BIO_supply,fixed_cost,0.0
166,2047,reg1,BIO_supply,fixed_cost,0.0
167,2048,reg1,BIO_supply,fixed_cost,0.0
168,2049,reg1,BIO_supply,fixed_cost,0.0
169,2050,reg1,BIO_supply,fixed_cost,0.0
170,2051,reg1,BIO_supply,fixed_cost,0.0
171,2052,reg1,BIO_supply,fixed_cost,0.0
172,2053,reg1,BIO_supply,fixed_cost,0.0
173,2054,reg1,BIO_supply,fixed_cost,0.0
174,2055,reg1,BIO_supply,fixed_cost,0.0
175,2056,reg1,BIO_supply,fixed_cost,0.0
176,2057,reg1,BIO_supply,fixed_cost,0.0
177,2058,reg1,BIO_supply,fixed_cost,0.0
178,2059,reg1,BIO_supply,fixed_cost,0.0
179,2060,reg1,BIO_supply,fixed_cost,0.0
180,2025,reg1,Biogas_supply,fixed_cost,0.0
181,2026,reg1,Biogas_supply,fixed_cost,0.0
182,2027,reg1,Biogas_supply,fixed_cost,0.0
183,2028,reg1,Biogas_supply,fixed_cost,0.0
184,2029,reg1,Biogas_supply,fixed_cost,0.0
185,2030,reg1,Biogas_supply,fixed_cost,0.0
186,2031,reg1,Biogas_supply,fixed_cost,0.0
187,2032,reg1,Biogas_supply,fixed_cost,0.0
188,2033,reg1,Biogas_supply,fixed_cost,0.0
189,2034,reg1,Biogas_supply,fixed_cost,0.0
190,2035,reg1,Biogas_supply,fixed_cost,0.0
191,2036,reg1,Biogas_supply,fixed_cost,0.0
192,2037,reg1,Biogas_supply,fixed_cost,0.0
193,2038,reg1,Biogas_supply,fixed_cost,0.0
194,2039,reg1,Biogas_supply,fixed_cost,0.0
195,2040,reg1,Biogas_supply,fixed_cost,0.0
196,2041,reg1,Biogas_supply,fixed_cost,0.0
197,2042,reg1,Biogas_supply,fixed_cost,0.0
198,2043,reg1,Biogas_supply,fixed_cost,0.0
199,2044,reg1,Biogas_supply,fixed_cost,0.0
200,2045,reg1,Biogas_supply,fixed_cost,0.0
201,2046,reg1,Biogas_supply,fixed_cost,0.0
202,2047,reg1,Biogas_supply,fixed_cost,0.0
203,2048,reg1,Biogas_supply,fixed_cost,0.0
204,2049,reg1,Biogas_supply,fixed_cost,0.0
205,2050,reg1,Biogas_supply,fixed_cost,0.0
206,2051,reg1,Biogas_supply,fixed_cost,0.0
207,2052,reg1,Biogas_supply,fixed_cost,0.0
208,2053,reg1,Biogas_supply,fixed_cost,0.0
209,2054,reg1,Biogas_supply,fixed_cost,0.0
210,2055,reg1,Biogas_supply,fixed_cost,0.0
211,2056,reg1,Biogas_supply,fixed_cost,0.0
212,2057,reg1,Biogas_supply,fixed_cost,0.0
213,2058,reg1,Biogas_supply,fixed_cost,0.0
214,2059,reg1,Biogas_supply,fixed_cost,0.0
215,2060,reg1,Biogas_supply,fixed_cost,0.0
216,2025,reg1,Waste_supply,fixed_cost,0.0
217,2026,reg1,Waste_supply,fixed_cost,0.0
218,2027,reg1,Waste_supply,fixed_cost,0.0
219,2028,reg1,Waste_supply,fixed_cost,0.0
220,2029,reg1,Waste_supply,fixed_cost,0.0
221,2030,reg1,Waste_supply,fixed_cost,0.0
222,2031,reg1,Waste_supply,fixed_cost,0.0
223,2032,reg1,Waste_supply,fixed_cost,0.0
224,2033,reg1,Waste_supply,fixed_cost,0.0
225,2034,reg1,Waste_supply,fixed_cost,0.0
226,2035,reg1,Waste_supply,fixed_cost,0.0
227,2036,reg1,Waste_supply,fixed_cost,0.0
228,2037,reg1,Waste_supply,fixed_cost,0.0
229,2038,reg1,Waste_supply,fixed_cost,0.0
230,2039,reg1,Waste_supply,fixed_cost,0.0
231,2040,reg1,Waste_supply,fixed_cost,0.0
232,2041,reg1,Waste_supply,fixed_cost,0.0
233,2042,reg1,Waste_supply,fixed_cost,0.0
234,2043,reg1,Waste_supply,fixed_cost,0.0
235,2044,reg1,Waste_supply,fixed_cost,0.0
236,2045,reg1,Waste_supply,fixed_cost,0.0
